#;EUROPA UNIVERSALIS TEXT STRING DATABASE;;;;;;;;;;1
#;;;;;;;;;;;2
#;;;;;;;;;;;3
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;4
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;5
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;6
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;7
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;8
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;9
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;10
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;11
##### CAREFULLY read the instructions in cells B18 – B36;;;;;;;;;;;12
#;;;;;;;;;;;13
#;;;;;;;;;;;14
#;NOTES TO TRANSLATORS:;;;;;;;;;;15
#;=====================;;;;;;;;;;16
#;;;;;;;;;;;17
#;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;18
#;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values –  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;19
#;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;20
#;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '§' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes – this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;21
#;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;22
#;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;23
#;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;24
#;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;25
#;§W = white text;;;;;;;;;;26
#;§Y = orange text;;;;;;;;;;27
#;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word. ;;;;;;;;;;28
#;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) – however you will notice once the translation is inserted that space IS limited in quite a few areas… so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;29
#;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;30
#;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;31
#;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;32
#;;;;;;;;;;;33
#;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;34
#;;;;;;;;;;;35
#;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;36
#;;;;;;;;;;;37
#;;;;;;;;;;;38
# STRING NAME (do not change!);English;;;;;;;;;;39
# ========================;==========;;;;;;;;;;40
LANGUAGE;English;;;;;;;;;;41
#########################################;;;;;;;;;;;42
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;43
#########################################;;;;;;;;;;;44
#;;;;;;;;;;;45
PAUSEA;Pause Available;;;;;;;;;;46
PAUSE_PB;Shortcut Pause/Break;;;;;;;;;;47
SAVEGAME;Save Game;;;;;;;;;;48
LOADGAME;Load Game;;;;;;;;;;49
CANCEL;Cancel;;;;;;;;;;50
DEFAULT;Default;;;;;;;;;;51
BACK;Back;;;;;;;;;;52
BACKTOMAIN;Back to Main;;;;;;;;;;53
OK;OK;;;;;;;;;;54
NONE;none;;;;;;;;;;55
NOFILE;No such file!;;;;;;;;;;56
NO;No;;;;;;;;;;57
YES;Yes;;;;;;;;;;58
# NOTE there should be a space both before and after the 'and' in the following string.;;;;;;;;;;;59
INVAND; and ;;;;;;;;;;60
# NOTE there should be a space after the 'with' in the following string.;;;;;;;;;;;61
DWBRKALL4;with ;;;;;;;;;;62
PLEASECONFIRM;Please Confirm:;;;;;;;;;;63
PLEASESELECT;LEFT-CLICK ON A PROVINCE OR UNIT TO SELECT IT.\n \nRIGHT-CLICK ON A PROVINCE OR UNIT TO ACCESS SHORTCUT COMMANDS.\n \nIF YOU HAVE A UNIT SELECTED, RIGHT-CLICK ON ITS DESTINATION TO MOVE IT.;;;;;;;;;;64
#;;;;;;;;;;;65
HOSTLEFT;The host has left the game!;;;;;;;;;;66
CLIENTLEFT;%s (%s) has left the game!;;;;;;;;;;67
PLAYERLAG_HEADER;Network Latency;;;;;;;;;;68
PLAYERLAG_MSG_HOST;By dropping a player lag may improve but the dropped player will not be able to continue. If you do a save and quit you can reconnect to the saved game when network latency has improved.;;;;;;;;;;69
PLAYERLAG_MSG_CLIENT;The more bullets the better connection.;;;;;;;;;;70
BTN_DROPCONT;Drop and continue playing;;;;;;;;;;71
BTN_SAVEQUIT;Save and quit;;;;;;;;;;72
#;;;;;;;;;;;73
GOTOBOX;Please enter the name of the province you wish to find.;;;;;;;;;;74
GOTOBOX_FAIL;There is no such province, please enter the name of the province you wish to find.;;;;;;;;;;75
MP_OK;Status OK;;;;;;;;;;76
MP_WAITING;Connecting...;;;;;;;;;;77
#;;;;;;;;;;;78
# EVENT WINDOW STRINGS;;;;;;;;;;;79
#;;;;;;;;;;;80
EVENTWINDOW_GOTO;Goto;;;;;;;;;;81
EVENTWINDOW_CLOSE;Close;;;;;;;;;;82
#;;;;;;;;;;;83
# MONTHS;;;;;;;;;;;84
#;;;;;;;;;;;85
JANUARY;January;;;;;;;;;;86
FEBRUARY;February;;;;;;;;;;87
MARCH;March;;;;;;;;;;88
APRIL;April;;;;;;;;;;89
MAY;May;;;;;;;;;;90
JUNE;June;;;;;;;;;;91
JULY;July;;;;;;;;;;92
AUGUST;August;;;;;;;;;;93
SEPTEMBER;September;;;;;;;;;;94
OCTOBER;October;;;;;;;;;;95
NOVEMBER;November;;;;;;;;;;96
DECEMBER;December;;;;;;;;;;97
#;;;;;;;;;;;98
JAN;JAN;;;;;;;;;;99
FEB;FEB;;;;;;;;;;100
MAR;MAR;;;;;;;;;;101
APR;APR;;;;;;;;;;102
MAYS;MAY;;;;;;;;;;103
JUN;JUN;;;;;;;;;;104
JUL;JUL;;;;;;;;;;105
AUG;AUG;;;;;;;;;;106
SEP;SEP;;;;;;;;;;107
OCT;OCT;;;;;;;;;;108
NOV;NOV;;;;;;;;;;109
DEC;DEC;;;;;;;;;;110
#;;;;;;;;;;;111
TERRAINCOGNITA;Terra Incognita;;;;;;;;;;112
BORDER;Border between countries;;;;;;;;;;113
#;;;;;;;;;;;114
########################################;;;;;;;;;;;115
######## FRONT & BACK END TEXTS #######;;;;;;;;;;;116
########################################;;;;;;;;;;;117
